time,Vib_Spindle,Vib_Table,Sound_Spindle,Sound_table,X_Load_Cell,Y_Load_Cell,Z_Load_Cell,Current,tool_wear,ACTION_CODE
98,4.177360327,5.219371018,1.491701351,3.214681561,0.001428456,-0.058434438,0.35336965,0.438559153,191,0
99,3.956985682,5.085172628,2.710273844,2.747948117,-0.013372809,-0.021924651,0.355014235,2.608424974,191,0
100,3.923436112,5.010179416,1.936553314,3.566582728,0.009980299,-0.02422707,0.355014235,1.352948459,191,0
101,3.92244936,5.066095407,1.457481977,2.698099625,0.001757373,-0.015675228,0.347449143,3.275797958,191,0
102,3.914555343,5.027940966,2.612057518,3.224223525,0.000770622,-0.02751624,0.368170915,1.161518747,191,0
103,3.835286264,5.070371336,2.272989209,1.884072617,0.003073041,0.017216473,0.355014235,3.351448925,191,0
104,3.916857765,4.90262337,2.743012622,3.611824833,0.015242971,-0.013372809,0.364881745,2.247931802,191,0
105,3.881334691,5.0753051,2.419573305,2.44951529,0.005375461,0.00208629,0.365210662,2.108799868,204,0
106,4.047109041,5.041426588,1.265656079,1.612620782,0.005375461,0.039911746,0.3698155,2.279836761,204,0
107,3.831668173,5.290746148,2.941090496,1.424085185,0.008006797,-0.001860714,0.372446836,4.141837248,204,0
108,4.078356192,5.021691532,1.585969151,2.955238919,-0.001860714,-0.021924651,0.368828749,1.945656993,204,0
109,3.972773716,4.91874033,2.182011665,4.570300506,-0.000216129,-0.08244538,0.363566077,-0.811654401,204,0
110,3.943500071,4.750992382,3.186220187,3.845932229,0.003073041,-0.049553679,0.364223911,1.702587279,204,0
111,3.923436112,5.033861483,3.026968134,0.848772096,0.003073041,-0.005807718,0.364223911,4.753294805,204,0
112,4.090526135,5.025309626,1.829124179,2.933687252,0.001757373,0.005046544,0.352711816,1.626936356,204,0
113,3.894162468,4.965117708,2.815399878,1.594523995,0.00208629,0.040898497,0.368828749,4.346094963,204,0
114,3.985272575,4.946369406,3.413911223,3.779138399,-0.00120288,-0.017319813,0.372117919,0.589860976,204,0
115,3.92244936,4.757241815,2.436683011,3.074019872,0.006033295,-0.023569236,0.373762504,0.745767637,204,0
116,3.850416461,4.861179757,1.891804883,0.006943033,0.003401958,0.06688294,0.387248101,4.727968155,204,0
